2006-01-01,560
2006-01-02,560
2006-01-03,560
2006-01-04,560
2006-01-05,560
2006-01-06,560
2006-01-07,560
2006-01-08,560
2006-01-09,560
2006-01-10,560
2006-01-11,560
2006-01-12,560
2006-01-13,560
2006-01-14,560
2006-01-15,560
2006-01-16,560
2006-01-17,560
2006-01-18,560
2006-01-19,560
2006-01-20,560
2006-01-21,560
2006-01-22,560
2006-01-23,560
2006-01-24,560
2006-01-25,560
2006-01-26,560
2006-01-27,560
2006-01-28,560
2006-01-29,560
2006-01-30,560
2006-01-31,560
2006-02-01,560
2006-02-02,560
2006-02-03,560
2006-02-04,560
2006-02-05,560
2006-02-06,560
2006-02-07,560
2006-02-08,560
2006-02-09,560
2006-02-10,560
2006-02-11,560
2006-02-12,560
2006-02-13,560
2006-02-14,560
2006-02-15,560
2006-02-16,560
2006-02-17,560
2006-02-18,560
2006-02-19,560
2006-02-20,560
2006-02-21,560
2006-02-22,560
2006-02-23,560
2006-02-24,560
2006-02-25,560
2006-02-26,560
2006-02-27,560
2006-02-28,560
2006-03-01,560
2006-03-02,560
2006-03-03,560
2006-03-04,560
2006-03-05,560
2006-03-06,560
2006-03-07,560
2006-03-08,560
2006-03-09,560
2006-03-10,560
2006-03-11,560
2006-03-12,560
2006-03-13,560
2006-03-14,560
2006-03-15,560
2006-03-16,560
2006-03-17,560
2006-03-18,560
2006-03-19,560
2006-03-20,560
2006-03-21,560
2006-03-22,560
2006-03-23,560
2006-03-24,560
2006-03-25,560
2006-03-26,560
2006-03-27,560
2006-03-28,560
2006-03-29,560
2006-03-30,560
2006-03-31,560
2006-04-01,560
2006-04-02,560
2006-04-03,560
2006-04-04,560
2006-04-05,560
2006-04-06,560
2006-04-07,560
2006-04-08,560
2006-04-09,560
2006-04-10,560
2006-04-11,560
2006-04-12,560
2006-04-13,560
2006-04-14,560
2006-04-15,560
2006-04-16,560
2006-04-17,560
2006-04-18,560
2006-04-19,560
2006-04-20,560
2006-04-21,560
2006-04-22,560
2006-04-23,560
2006-04-24,560
2006-04-25,560
2006-04-26,560
2006-04-27,560
2006-04-28,560
2006-04-29,560
2006-04-30,560
2006-05-01,560
2006-05-02,560
2006-05-03,560
2006-05-04,560
2006-05-05,560
2006-05-06,560
2006-05-07,560
2006-05-08,560
2006-05-09,560
2006-05-10,560
2006-05-11,560
2006-05-12,560
2006-05-13,560
2006-05-14,560
2006-05-15,560
2006-05-16,560
2006-05-17,560
2006-05-18,560
2006-05-19,560
2006-05-20,560
2006-05-21,560
2006-05-22,560
2006-05-23,560
2006-05-24,560
2006-05-25,560
2006-05-26,560
2006-05-27,560
2006-05-28,560
2006-05-29,560
2006-05-30,560
2006-05-31,560
2006-06-01,560
2006-06-02,560
2006-06-03,560
2006-06-04,560
2006-06-05,560
2006-06-06,560
2006-06-07,560
2006-06-08,560
2006-06-09,560
2006-06-10,560
2006-06-11,560
2006-06-12,560
2006-06-13,560
2006-06-14,560
2006-06-15,560
2006-06-16,560
2006-06-17,560
2006-06-18,560
2006-06-19,560
2006-06-20,560
2006-06-21,560
2006-06-22,560
2006-06-23,560
2006-06-24,560
2006-06-25,560
2006-06-26,560
2006-06-27,560
2006-06-28,560
2006-06-29,560
2006-06-30,560
2006-07-01,560
2006-07-02,560
2006-07-03,560
2006-07-04,560
2006-07-05,560
2006-07-06,560
2006-07-07,560
2006-07-08,560
2006-07-09,560
2006-07-10,560
2006-07-11,560
2006-07-12,560
2006-07-13,560
2006-07-14,560
2006-07-15,560
2006-07-16,560
2006-07-17,560
2006-07-18,560
2006-07-19,560
2006-07-20,560
2006-07-21,560
2006-07-22,560
2006-07-23,560
2006-07-24,560
2006-07-25,560
2006-07-26,560
2006-07-27,560
2006-07-28,560
2006-07-29,560
2006-07-30,560
2006-07-31,560
2006-08-01,560
2006-08-02,560
2006-08-03,560
2006-08-04,560
2006-08-05,560
2006-08-06,560
2006-08-07,560
2006-08-08,560
2006-08-09,560
2006-08-10,560
2006-08-11,560
2006-08-12,560
2006-08-13,560
2006-08-14,560
2006-08-15,560
2006-08-16,560
2006-08-17,560
2006-08-18,560
2006-08-19,560
2006-08-20,560
2006-08-21,560
2006-08-22,560
2006-08-23,560
2006-08-24,560
2006-08-25,560
2006-08-26,560
2006-08-27,560
2006-08-28,560
2006-08-29,560
2006-08-30,560
2006-08-31,560
2006-09-01,560
2006-09-02,560
2006-09-03,560
2006-09-04,560
2006-09-05,560
2006-09-06,560
2006-09-07,560
2006-09-08,560
2006-09-09,560
2006-09-10,560
2006-09-11,560
2006-09-12,560
2006-09-13,560
2006-09-14,560
2006-09-15,560
2006-09-16,560
2006-09-17,560
2006-09-18,560
2006-09-19,560
2006-09-20,560
2006-09-21,560
2006-09-22,560
2006-09-23,560
2006-09-24,560
2006-09-25,560
2006-09-26,560
2006-09-27,560
2006-09-28,560
2006-09-29,560
2006-09-30,560
2006-10-01,560
2006-10-02,560
2006-10-03,560
2006-10-04,560
2006-10-05,560
2006-10-06,560
2006-10-07,560
2006-10-08,560
2006-10-09,560
2006-10-10,560
2006-10-11,560
2006-10-12,560
2006-10-13,560
2006-10-14,560
2006-10-15,560
2006-10-16,560
2006-10-17,560
2006-10-18,560
2006-10-19,560
2006-10-20,560
2006-10-21,560
2006-10-22,560
2006-10-23,560
2006-10-24,560
