2007-06-08,2007-07-20,supply
2007-09-30,2007-11-12,no
2008-01-20,2008-03-03,no
2008-03-03,2008-04-15,no
2008-04-15,2008-05-28,no
2008-05-28,2008-07-10,no
2008-07-10,2008-08-22,no
2008-09-07,2008-10-20,no
2008-10-20,2008-12-02,no
2008-12-14,2009-01-26,no
2009-01-26,2009-03-10,no
2009-03-10,2009-04-22,no
2009-05-09,2009-06-21,no
2009-06-27,2009-08-09,no
2009-08-09,2009-09-21,no
2009-09-21,2009-11-03,no
2009-11-14,2009-12-27,no
2010-01-09,2010-02-21,no
2010-02-21,2010-04-05,no
2010-04-15,2010-05-28,no
2010-05-30,2010-07-12,no
2010-08-08,2010-09-20,no
2010-10-28,2010-12-10,no
2010-12-13,2011-01-24,supply
2011-01-12,2011-02-23,supply
2011-04-28,2011-06-10,no
2011-06-10,2011-07-23,no
2011-08-12,2011-09-24,no
2011-10-06,2011-11-18,no
2011-11-18,2011-12-31,no
2012-01-15,2012-02-27,no
2012-02-27,2012-04-10,no
2012-04-10,2012-05-23,no
2012-05-23,2012-07-05,no
2012-07-05,2012-08-17,no
2012-08-17,2012-09-29,no
2012-09-29,2012-11-11,no
2012-11-30,2013-01-12,no
2013-01-12,2013-02-24,no
2013-03-31,2013-05-13,no
2013-05-19,2013-07-01,no
2013-08-06,2013-09-17,supply
2013-09-09,2013-10-21,supply
2013-11-25,2014-01-06,supply
2013-12-18,2014-01-29,supply
2014-03-15,2014-04-26,supply
2014-06-09,2014-07-22,no
2014-08-15,2014-09-27,no
2014-09-27,2014-11-09,no
2014-11-09,2014-12-22,no
2014-12-22,2015-02-03,no
2015-02-03,2015-03-18,no
2015-03-18,2015-04-30,no
2015-04-30,2015-06-12,no
2015-10-14,2015-11-25,supply
2016-01-08,2016-02-20,no
2016-03-01,2016-04-13,no
2016-04-07,2016-05-19,supply
2016-08-05,2016-09-17,no
2016-10-16,2016-11-28,no
2016-12-18,2017-01-30,no
2017-01-31,2017-03-15,no
2017-03-15,2017-04-27,no
2017-04-27,2017-06-09,no
2017-05-24,2017-07-05,supply
2017-09-15,2017-10-28,no
2017-12-03,2018-01-15,no
2018-01-15,2018-02-27,no
2018-05-24,2018-07-05,supply
2019-09-13,2019-10-25,supply
