date,price
2006-01-01,1100
2006-01-02,1100
2006-01-03,1000
2006-01-04,900
2006-01-05,1000
2006-01-06,900
2006-01-07,900
2006-01-08,900
2006-01-09,900
2006-01-10,900
2006-01-11,900
2006-01-12,900
2006-01-13,900
2006-01-14,900
2006-01-15,900
2006-01-16,900
2006-01-17,900
2006-01-18,900
2006-01-19,900
2006-01-20,900
2006-01-21,900
2006-01-22,900
2006-01-23,900
2006-01-24,800
2006-01-25,800
2006-01-26,800
2006-01-27,800
2006-01-28,800
2006-01-29,800
2006-01-30,800
2006-01-31,700
2006-02-01,700
2006-02-02,700
2006-02-03,700
2006-02-04,700
2006-02-05,700
2006-02-06,700
2006-02-07,700
2006-02-08,700
2006-02-09,700
2006-02-10,700
2006-02-11,700
2006-02-12,700
2006-02-13,700
2006-02-14,700
2006-02-15,700
2006-02-16,700
2006-02-17,700
2006-02-18,700
2006-02-19,700
2006-02-20,700
2006-02-21,700
2006-02-22,700
2006-02-23,700
2006-02-24,700
2006-02-25,700
2006-02-26,700
2006-02-27,700
2006-02-28,700
2006-03-01,800
2006-03-02,700
2006-03-03,800
2006-03-04,800
2006-03-05,800
2006-03-06,800
2006-03-07,800
2006-03-08,700
2006-03-09,700
2006-03-10,700
2006-03-11,700
2006-03-12,700
2006-03-13,700
2006-03-14,700
2006-03-15,750
2006-03-16,800
2006-03-17,800
2006-03-18,800
2006-03-19,800
2006-03-20,800
2006-03-21,800
2006-03-22,700
2006-03-23,700
2006-03-24,700
2006-03-25,700
2006-03-26,700
2006-03-27,700
2006-03-28,700
2006-03-29,700
2006-03-30,700
2006-03-31,700
2006-04-01,700
2006-04-02,700
2006-04-03,700
2006-04-04,700
2006-04-05,700
2006-04-06,700
2006-04-07,700
2006-04-08,700
2006-04-09,700
2006-04-10,700
2006-04-11,700
2006-04-12,700
2006-04-13,700
2006-04-14,700
2006-04-15,700
2006-04-16,700
2006-04-17,700
2006-04-18,700
2006-04-19,700
2006-04-20,700
2006-04-21,700
2006-04-22,700
2006-04-23,700
2006-04-24,700
2006-04-25,700
2006-04-26,700
2006-04-27,700
2006-04-28,600
2006-04-29,600
2006-04-30,600
2006-05-01,600
2006-05-02,700
